Portfolio,Owner,Instrument,Date,Price
Deutsche Bank,Ford,Equity,23/04/2018 20:38:13,188.28
Fannie Mae,Samsung,Swap,20/10/2018 07:21:58,78.01
Deutsche Bank,Amazon,CDS,22/10/2018 01:09:02,138.55
Deutsche Bank,Apple,Deposit,08/06/2018 22:50:03,726.35
Bank of America,SimCorp,Bond,07/11/2018 19:11:49,358.85
Bank of America,Ford,Swap,22/04/2018 09:15:27,846.02
Deutsche Bank,Walmart,Loan,18/06/2018 04:04:31,428.93
Barclays,Microsoft,Futures,14/04/2018 06:17:50,410.36
UOB,Microsoft,Bond,07/01/2018 17:08:30,518.17
Deutsche Bank,Amazon,Options,25/10/2018 23:13:37,645.96
Deutsche Bank,Walmart,Loan,12/03/2018 06:32:37,39.15
BNP Paribas,Amazon,Swap,26/07/2018 09:34:13,445.08
BNP Paribas,Walmart,Deposit,03/08/2018 02:48:36,245.30
BNP Paribas,Walmart,Options,07/06/2018 05:02:52,220.20
Fannie Mae,SimCorp,CDS,23/03/2018 07:28:56,648.22
Barclays,Ford,Loan,01/05/2018 05:51:41,479.17
Barclays,Ford,Equity,13/04/2018 10:49:27,42.21
Finanz Informatik,Toyota,Options,22/04/2018 13:51:36,242.43
Bank of America,Samsung,CDS,03/12/2018 02:19:15,658.34
Finanz Informatik,Amazon,Deposit,16/04/2018 05:18:23,61.44
Barclays,Apple,Options,04/03/2018 17:26:05,335.75
Finanz Informatik,Microsoft,Swap,23/04/2018 14:15:17,299.70
BNP Paribas,Walmart,Swap,10/04/2018 01:56:16,109.81
Fannie Mae,SimCorp,Deposit,11/05/2018 13:15:30,416.22
Bank of America,Microsoft,CDS,20/12/2018 03:26:29,346.15
State Bank of India,Apple,Equity,08/05/2018 21:02:19,496.80
UOB,Google,Futures,07/01/2018 20:24:30,172.62
Finanz Informatik,Toyota,Futures,22/11/2018 21:54:59,279.08
Bank of America,SimCorp,Deposit,17/09/2018 06:21:30,194.29
Bank of America,Ford,CDS,17/09/2018 11:51:38,73.68
Deutsche Bank,Ford,Options,19/04/2018 06:32:16,677.27
State Bank of India,Apple,CDS,16/07/2018 08:24:40,249.15
Bank of America,Samsung,Loan,20/06/2018 10:05:48,450.32
BNP Paribas,Microsoft,Equity,16/09/2018 15:53:30,104.25
Deutsche Bank,Apple,Swap,15/10/2018 12:12:05,14.16
BNP Paribas,Google,Equity,10/10/2018 19:35:07,48.46
Fannie Mae,Toyota,Bond,09/04/2018 17:49:59,199.51
Barclays,Ford,CDS,09/02/2018 10:57:35,31.71
Fannie Mae,Ford,CDS,08/12/2018 20:06:25,253.89
BNP Paribas,Samsung,Swap,07/10/2018 22:05:40,290.38
Deutsche Bank,Google,Bond,25/03/2018 04:33:05,368.51
UOB,Apple,Equity,02/05/2018 04:05:02,462.41
Bank of America,Amazon,Options,25/04/2018 15:58:52,497.32
Finanz Informatik,Microsoft,Equity,15/02/2018 01:56:27,361.61
Finanz Informatik,Apple,Swap,25/06/2018 01:36:31,20.32
State Bank of India,Apple,CDS,06/12/2018 07:35:44,116.36
Fannie Mae,Toyota,Equity,17/02/2018 13:52:02,104.38
Fannie Mae,Walmart,Swap,04/11/2018 14:29:10,114.78
BNP Paribas,SimCorp,Equity,13/10/2018 07:36:09,370.18
Barclays,Google,Bond,27/11/2018 15:48:46,297.76
Fannie Mae,Walmart,CDS,25/09/2018 07:07:51,331.80
UOB,Amazon,Loan,06/06/2018 17:31:23,525.45
State Bank of India,Toyota,Bond,17/08/2018 23:30:05,250.85
UOB,Toyota,Loan,19/02/2018 11:49:29,487.37
Fannie Mae,Toyota,Loan,13/05/2018 01:53:38,261.28
BNP Paribas,Amazon,Bond,10/07/2018 11:30:59,215.29
UOB,Apple,Swap,22/05/2018 03:09:12,73.32
State Bank of India,Apple,Futures,04/06/2018 06:26:41,621.96
BNP Paribas,Samsung,Futures,11/08/2018 09:36:42,133.92
State Bank of India,Samsung,Futures,13/01/2018 04:46:56,238.40
State Bank of India,Toyota,Deposit,11/12/2018 03:58:36,243.73
BNP Paribas,Samsung,Deposit,22/07/2018 21:37:21,92.40
Barclays,Amazon,Futures,22/08/2018 02:38:24,443.79
Barclays,SimCorp,Bond,20/11/2018 10:03:30,53.01
Barclays,Apple,Loan,07/08/2018 04:04:53,93.67
Bank of America,Amazon,Swap,24/03/2018 11:17:14,162.74
Barclays,Walmart,Options,19/06/2018 12:44:53,57.06
UOB,Google,Bond,28/09/2018 12:11:45,344.92
State Bank of India,Toyota,Bond,14/07/2018 01:32:51,235.18
Fannie Mae,Samsung,Loan,24/12/2018 20:27:47,13.92
Barclays,Google,Bond,20/11/2018 10:21:17,746.37
Finanz Informatik,SimCorp,Deposit,10/07/2018 17:28:02,94.91
State Bank of India,Samsung,Deposit,07/07/2018 01:45:09,0.07
BNP Paribas,Amazon,Deposit,06/08/2018 19:38:12,200.40
Deutsche Bank,Microsoft,CDS,28/09/2018 15:56:49,131.73
Barclays,Amazon,Deposit,21/05/2018 13:19:33,116.35
Deutsche Bank,Google,Futures,10/01/2018 21:45:14,465.44
BNP Paribas,Microsoft,Equity,27/12/2018 17:15:10,177.95
BNP Paribas,Ford,Options,22/10/2018 14:36:24,368.09
Bank of America,Apple,Options,12/03/2018 11:49:34,623.75
UOB,Toyota,Futures,01/02/2018 03:15:51,66.05
Finanz Informatik,Google,Swap,16/01/2018 17:42:40,49.51
Finanz Informatik,Amazon,Loan,28/08/2018 01:45:59,226.49
State Bank of India,Toyota,Deposit,21/06/2018 09:26:24,285.84
Finanz Informatik,Toyota,Swap,11/11/2018 08:07:27,517.95
UOB,Google,Loan,23/08/2018 12:22:50,472.33
Finanz Informatik,Microsoft,Loan,04/11/2018 15:22:31,12.85
Finanz Informatik,Microsoft,Swap,11/08/2018 13:22:29,88.66
State Bank of India,Microsoft,Loan,21/10/2018 18:25:10,197.69
BNP Paribas,Walmart,Loan,09/09/2018 03:24:06,200.40
State Bank of India,Walmart,Bond,13/06/2018 11:13:37,580.26
Fannie Mae,Ford,Options,04/06/2018 02:54:32,86.74
Fannie Mae,Google,Deposit,06/02/2018 16:02:11,64.24
Fannie Mae,Microsoft,CDS,19/07/2018 07:11:54,120.09
Bank of America,Samsung,Swap,02/06/2018 03:03:48,128.73
Fannie Mae,Samsung,Swap,16/05/2018 19:46:01,187.18
Barclays,Apple,Loan,03/01/2018 21:10:02,211.01
State Bank of India,Apple,Equity,23/11/2018 10:18:25,682.74
Deutsche Bank,Microsoft,Options,02/02/2018 07:20:20,7.83
Bank of America,Google,CDS,25/07/2018 13:33:53,868.14
State Bank of India,Apple,Swap,10/10/2018 05:41:05,84.57
Bank of America,Amazon,Swap,05/03/2018 05:29:08,146.23
Bank of America,Samsung,Bond,09/12/2018 17:22:36,783.75
UOB,Amazon,Bond,04/11/2018 14:14:45,338.37
Bank of America,Microsoft,CDS,11/10/2018 04:14:27,715.72
BNP Paribas,Amazon,Swap,18/07/2018 03:59:04,305.06
UOB,Apple,Bond,09/05/2018 03:17:05,327.27
State Bank of India,Toyota,Loan,07/01/2018 07:06:13,42.57
Barclays,Ford,Equity,07/04/2018 10:28:34,134.87
Bank of America,Google,Loan,02/02/2018 12:11:24,26.48
UOB,Google,Loan,20/11/2018 08:07:53,179.30
BNP Paribas,Toyota,Futures,05/04/2018 21:55:45,110.77
Deutsche Bank,Toyota,Deposit,26/01/2018 19:28:10,108.97
BNP Paribas,Toyota,CDS,08/04/2018 08:33:16,757.15
Finanz Informatik,Walmart,Loan,28/12/2018 20:41:56,550.92
Bank of America,Amazon,Loan,19/08/2018 04:19:18,2.46
UOB,Ford,Swap,06/07/2018 08:05:13,909.86
Finanz Informatik,Walmart,Equity,17/03/2018 02:27:53,40.37
BNP Paribas,SimCorp,Equity,05/10/2018 16:26:06,14.90
BNP Paribas,Microsoft,Loan,01/09/2018 09:40:44,140.52
UOB,SimCorp,Swap,24/03/2018 21:18:03,506.62
Deutsche Bank,Amazon,Equity,24/11/2018 08:48:06,12.73
State Bank of India,Ford,Options,23/11/2018 02:22:27,215.61
Barclays,Toyota,Equity,09/06/2018 15:38:56,67.78
Barclays,Amazon,Bond,13/01/2018 14:03:24,329.45
Bank of America,Walmart,Loan,22/03/2018 18:53:58,606.63
Bank of America,Samsung,Deposit,06/10/2018 23:16:47,318.62
Deutsche Bank,Samsung,Bond,04/02/2018 12:54:32,159.06
BNP Paribas,Ford,Options,20/07/2018 19:22:58,128.82
Deutsche Bank,Toyota,Options,20/03/2018 13:33:18,370.53
Finanz Informatik,Microsoft,Deposit,28/08/2018 16:29:15,430.32
UOB,Amazon,Futures,20/03/2018 14:15:17,16.28
Bank of America,Microsoft,Equity,13/01/2018 01:19:52,40.19
State Bank of India,Walmart,CDS,25/01/2018 19:08:55,251.50
Finanz Informatik,Apple,Swap,19/05/2018 09:11:19,60.52
Finanz Informatik,Microsoft,Equity,24/06/2018 01:05:47,104.98
Finanz Informatik,Walmart,Deposit,10/06/2018 06:40:29,188.77
Barclays,Microsoft,CDS,02/01/2018 12:22:48,331.65
UOB,Apple,Loan,08/04/2018 16:26:15,64.43
Deutsche Bank,Amazon,CDS,18/08/2018 17:16:28,155.42
Deutsche Bank,Toyota,Swap,18/08/2018 01:34:07,5.02
Deutsche Bank,Microsoft,Futures,02/02/2018 09:16:33,152.22
UOB,Amazon,Loan,06/07/2018 03:35:04,135.61
Finanz Informatik,Samsung,Deposit,11/12/2018 05:03:44,177.08
BNP Paribas,Microsoft,Deposit,04/11/2018 11:54:37,218.89
Barclays,Toyota,Loan,18/05/2018 07:24:25,207.81
Barclays,SimCorp,CDS,02/01/2018 19:29:30,233.24
Finanz Informatik,SimCorp,Swap,17/12/2018 12:35:25,664.92
Fannie Mae,Ford,Futures,25/02/2018 13:36:28,322.23
UOB,Walmart,Loan,24/02/2018 14:38:47,53.42
State Bank of India,Amazon,Deposit,28/09/2018 22:47:21,324.52
Deutsche Bank,Ford,Bond,09/08/2018 11:03:31,164.47
Fannie Mae,Apple,Equity,04/08/2018 16:14:46,98.00
UOB,Samsung,Options,23/01/2018 19:06:46,83.29
UOB,Microsoft,CDS,11/03/2018 19:38:39,178.11
Bank of America,Google,Options,05/04/2018 22:13:14,378.92
Deutsche Bank,Apple,Loan,08/10/2018 21:22:55,215.72
Finanz Informatik,Microsoft,Loan,21/03/2018 22:18:02,471.42
BNP Paribas,Walmart,Swap,13/09/2018 18:12:18,102.96
Bank of America,Samsung,Equity,08/11/2018 18:59:56,799.79
Barclays,Toyota,Deposit,02/05/2018 07:47:24,476.80
Deutsche Bank,Google,Swap,08/04/2018 03:05:34,166.69
Deutsche Bank,Apple,Swap,26/01/2018 11:05:27,187.00
State Bank of India,Amazon,Equity,25/10/2018 08:46:36,924.72
State Bank of India,Samsung,CDS,06/09/2018 10:55:55,150.49
Deutsche Bank,Amazon,CDS,22/05/2018 09:43:46,143.74
Fannie Mae,Amazon,Futures,08/08/2018 08:03:10,259.02
Finanz Informatik,SimCorp,Swap,17/03/2018 21:22:16,351.72
Bank of America,Google,Deposit,09/10/2018 13:43:46,471.01
Bank of America,Ford,Equity,26/02/2018 15:21:08,5.59
Finanz Informatik,Toyota,Options,22/09/2018 05:30:27,408.41
State Bank of India,SimCorp,Swap,01/11/2018 02:31:39,701.84
Bank of America,Microsoft,Equity,09/10/2018 09:19:49,215.94
Bank of America,Microsoft,Deposit,05/12/2018 19:36:08,248.78
BNP Paribas,Microsoft,Swap,16/02/2018 04:04:15,2.27
BNP Paribas,Toyota,Deposit,09/09/2018 02:36:43,69.60
UOB,Walmart,Equity,10/11/2018 18:39:58,181.31
Barclays,Amazon,CDS,20/02/2018 08:17:02,223.65
Finanz Informatik,Apple,CDS,24/06/2018 20:24:05,70.53
Fannie Mae,Ford,CDS,07/08/2018 09:06:09,109.66
Barclays,Apple,Futures,11/11/2018 17:03:40,659.52
UOB,Walmart,Futures,04/03/2018 19:55:46,27.92
Finanz Informatik,Walmart,Loan,01/09/2018 14:39:04,529.47
Fannie Mae,Google,Equity,20/06/2018 05:34:53,356.48
UOB,Toyota,Bond,08/09/2018 15:27:32,10.59
Barclays,Microsoft,Equity,13/04/2018 21:47:48,234.99
BNP Paribas,Ford,Deposit,22/09/2018 16:21:58,681.27
Fannie Mae,Apple,CDS,20/11/2018 15:32:37,475.25
BNP Paribas,Google,Options,25/06/2018 21:58:54,194.06
Barclays,Toyota,Bond,02/04/2018 19:57:21,6.31
Finanz Informatik,SimCorp,Bond,06/07/2018 10:36:18,578.63
Finanz Informatik,Google,Futures,19/06/2018 22:25:18,538.58
Deutsche Bank,Amazon,Swap,14/09/2018 11:59:28,752.04
Deutsche Bank,Google,CDS,04/10/2018 15:07:01,704.42
Finanz Informatik,Toyota,Loan,12/03/2018 06:23:36,134.96
Barclays,Toyota,Options,26/01/2018 20:32:17,123.61
Barclays,Google,Options,06/10/2018 05:29:34,60.65
UOB,Amazon,Bond,17/05/2018 01:09:47,38.90
BNP Paribas,Amazon,Deposit,14/09/2018 23:41:40,106.99
BNP Paribas,Samsung,Swap,01/07/2018 04:10:32,334.55
Deutsche Bank,Samsung,Loan,08/07/2018 23:39:07,310.76
Deutsche Bank,Toyota,Swap,18/10/2018 02:17:50,368.23
Barclays,Samsung,CDS,26/01/2018 01:28:28,72.63
State Bank of India,Walmart,Deposit,15/02/2018 07:06:18,201.58
Finanz Informatik,Walmart,Loan,17/01/2018 09:52:07,213.91
UOB,Microsoft,Loan,21/10/2018 22:11:17,890.30
Bank of America,Google,CDS,28/12/2018 02:56:52,212.85
State Bank of India,Ford,Futures,24/10/2018 21:33:33,127.20
Fannie Mae,Amazon,Options,17/06/2018 13:22:01,250.44
BNP Paribas,Samsung,CDS,27/02/2018 04:51:18,205.86
Barclays,Apple,Deposit,01/08/2018 21:52:29,53.69
Barclays,Walmart,Deposit,04/02/2018 04:37:18,817.21
Deutsche Bank,Ford,Options,07/09/2018 04:20:18,168.36
BNP Paribas,Microsoft,Futures,04/11/2018 04:34:57,581.93
Deutsche Bank,Samsung,Bond,06/06/2018 11:57:33,322.79
Bank of America,Walmart,Swap,23/09/2018 12:28:03,27.72
Bank of America,Walmart,CDS,23/04/2018 03:10:57,303.78
Bank of America,Walmart,Deposit,21/08/2018 20:53:03,954.93
Fannie Mae,Toyota,Loan,04/01/2018 11:19:47,436.86
Deutsche Bank,SimCorp,Options,05/07/2018 03:13:46,57.45
Finanz Informatik,Apple,Options,06/01/2018 21:42:19,115.69
Bank of America,Amazon,Futures,19/07/2018 19:19:38,907.06
UOB,Amazon,Deposit,08/05/2018 02:03:18,52.79
Bank of America,Google,Loan,13/06/2018 04:12:12,304.62
UOB,Apple,Deposit,28/02/2018 06:02:02,270.61
UOB,Walmart,CDS,08/05/2018 22:09:11,397.60
UOB,Amazon,Deposit,10/04/2018 12:06:01,181.13
Bank of America,Google,Deposit,16/11/2018 19:31:45,65.65
BNP Paribas,Apple,Futures,24/01/2018 02:29:57,52.77
BNP Paribas,Apple,Futures,13/08/2018 08:08:34,120.35
Fannie Mae,Apple,Swap,23/05/2018 16:44:45,403.67
Barclays,Amazon,Deposit,03/10/2018 19:02:48,440.17
BNP Paribas,Google,Deposit,14/07/2018 13:43:11,166.33
Deutsche Bank,Ford,Swap,25/12/2018 01:07:01,123.78
Finanz Informatik,Toyota,Bond,04/09/2018 15:16:38,70.08
Finanz Informatik,Microsoft,Equity,13/06/2018 01:13:20,372.30
State Bank of India,Walmart,Loan,23/08/2018 11:25:50,282.07
Deutsche Bank,Apple,Options,28/04/2018 07:01:05,148.60
Finanz Informatik,Apple,Options,25/10/2018 08:49:31,386.81
UOB,Toyota,Bond,07/01/2018 18:24:29,413.80
Fannie Mae,Amazon,Deposit,26/06/2018 08:47:51,655.96
BNP Paribas,Google,Swap,26/01/2018 21:56:31,109.91
Bank of America,Ford,Loan,08/01/2018 22:53:30,397.28
State Bank of India,SimCorp,Equity,18/10/2018 21:19:09,10.58
Bank of America,Ford,Bond,24/04/2018 17:53:03,524.79
UOB,Samsung,CDS,02/06/2018 08:04:43,43.32
Barclays,Microsoft,Deposit,08/03/2018 12:57:08,228.65
Bank of America,Samsung,CDS,27/03/2018 16:49:03,57.61
BNP Paribas,Samsung,Futures,13/09/2018 01:47:43,112.36
UOB,Walmart,Swap,04/11/2018 06:08:51,271.26
Deutsche Bank,Toyota,CDS,22/01/2018 01:15:32,26.11
Barclays,Apple,Options,27/09/2018 14:53:09,234.86
Deutsche Bank,Microsoft,Futures,07/02/2018 23:53:45,252.28
Bank of America,Ford,Swap,23/10/2018 07:13:20,55.02
UOB,Microsoft,Equity,23/04/2018 19:03:14,437.20
Finanz Informatik,Ford,Bond,19/10/2018 12:21:31,550.24
BNP Paribas,SimCorp,Futures,25/10/2018 13:04:43,699.07
Finanz Informatik,Walmart,Equity,14/05/2018 11:03:07,599.46
State Bank of India,Walmart,Deposit,10/07/2018 13:53:10,137.56
State Bank of India,Toyota,Futures,09/02/2018 06:47:23,60.14
Deutsche Bank,Amazon,Futures,06/04/2018 19:44:44,152.89
Barclays,Microsoft,Equity,25/06/2018 11:41:55,98.68
Deutsche Bank,Samsung,Options,21/07/2018 16:05:10,192.66
Deutsche Bank,Walmart,CDS,20/12/2018 14:18:33,8.33
UOB,Google,Deposit,26/11/2018 16:27:04,209.43
Bank of America,Samsung,Swap,18/02/2018 20:46:51,185.45
Deutsche Bank,Walmart,CDS,17/01/2018 18:34:15,294.05
Fannie Mae,Google,Options,16/12/2018 12:03:39,268.27
Fannie Mae,Apple,Swap,19/02/2018 18:45:35,88.51
UOB,Amazon,Bond,24/11/2018 06:26:46,301.02
Fannie Mae,Google,Loan,21/12/2018 11:18:59,70.29
UOB,Apple,Loan,09/06/2018 17:38:33,124.31
BNP Paribas,Ford,Swap,14/12/2018 17:06:44,351.03
BNP Paribas,Microsoft,Loan,26/06/2018 01:41:02,29.23
Barclays,Toyota,Bond,01/03/2018 17:11:33,123.83
Bank of America,Samsung,Loan,04/06/2018 04:20:24,122.58
Finanz Informatik,SimCorp,Swap,03/03/2018 13:46:47,447.35
BNP Paribas,Walmart,Bond,10/03/2018 06:55:40,199.43
Bank of America,SimCorp,Equity,21/12/2018 05:54:51,712.20
Deutsche Bank,Microsoft,Options,24/06/2018 22:51:48,269.92
State Bank of India,Amazon,Bond,04/03/2018 23:45:09,72.80
Fannie Mae,Toyota,Futures,13/09/2018 20:21:58,128.66
Deutsche Bank,Ford,Futures,18/10/2018 17:02:40,453.56
Barclays,Google,Options,23/06/2018 04:31:57,174.06
Barclays,Toyota,CDS,15/06/2018 23:47:52,628.26
Bank of America,Samsung,Loan,23/04/2018 01:56:14,1.64
State Bank of India,Apple,Deposit,14/09/2018 03:10:01,277.68
Finanz Informatik,Amazon,Equity,13/10/2018 21:12:58,302.06
State Bank of India,Google,CDS,24/05/2018 12:49:15,163.94
Fannie Mae,Microsoft,Loan,23/06/2018 09:59:58,539.38
UOB,Samsung,Swap,20/10/2018 05:43:32,473.38
UOB,Ford,Swap,13/12/2018 19:26:25,738.43
Finanz Informatik,Ford,Loan,01/02/2018 01:05:44,887.86
State Bank of India,Google,Bond,22/10/2018 04:11:54,175.48
UOB,Microsoft,Futures,26/10/2018 07:19:20,446.90
State Bank of India,Walmart,Bond,05/01/2018 22:27:50,98.39
BNP Paribas,Ford,Options,28/09/2018 15:57:10,517.75
Bank of America,SimCorp,Deposit,05/04/2018 23:28:32,74.48
Deutsche Bank,Toyota,CDS,05/12/2018 08:09:59,173.52
Deutsche Bank,Microsoft,Equity,15/12/2018 19:43:42,578.47
Finanz Informatik,Google,Bond,11/09/2018 10:49:48,293.03
Barclays,Ford,Options,28/12/2018 09:14:36,202.45
Barclays,Ford,Futures,17/05/2018 07:20:47,377.36
Finanz Informatik,Toyota,CDS,13/12/2018 13:37:04,317.05
Bank of America,Amazon,Equity,11/07/2018 18:42:14,461.73
Bank of America,Google,Equity,23/03/2018 09:40:45,239.40
BNP Paribas,Apple,Bond,26/06/2018 16:14:41,20.45
UOB,Google,Bond,04/10/2018 03:48:58,255.39
Bank of America,Apple,Deposit,23/07/2018 04:38:30,818.24
State Bank of India,Samsung,Swap,20/06/2018 11:18:42,24.87
Bank of America,Apple,CDS,12/07/2018 10:06:20,439.84
Bank of America,Toyota,Deposit,15/04/2018 23:14:29,52.23
BNP Paribas,Toyota,Options,16/05/2018 21:15:31,522.47
UOB,Apple,Loan,08/04/2018 13:23:17,65.41
BNP Paribas,Microsoft,Futures,16/06/2018 05:05:38,76.19
Fannie Mae,Samsung,Bond,18/11/2018 19:28:19,760.75
Fannie Mae,Walmart,Equity,24/06/2018 11:19:28,536.63
Bank of America,Ford,Loan,20/04/2018 18:18:06,30.80
UOB,Walmart,Options,12/05/2018 01:04:30,369.88
BNP Paribas,Apple,Loan,08/08/2018 11:04:01,339.97
State Bank of India,Walmart,Options,05/01/2018 07:29:46,112.13
Bank of America,Amazon,Futures,20/08/2018 13:03:53,130.42
Barclays,Samsung,Deposit,24/07/2018 12:38:40,16.38
Deutsche Bank,Microsoft,Futures,14/10/2018 05:01:28,3.91
Bank of America,Microsoft,Loan,27/10/2018 17:38:42,40.98
Barclays,Google,Swap,20/10/2018 02:48:02,730.10
Deutsche Bank,Samsung,Deposit,06/11/2018 06:54:39,149.62
Bank of America,Walmart,CDS,07/11/2018 02:27:03,65.60
UOB,Ford,CDS,23/04/2018 12:19:38,133.00
Barclays,Ford,Equity,13/07/2018 18:33:28,38.02
UOB,Ford,Options,06/06/2018 20:30:05,423.62
Bank of America,Toyota,Futures,22/02/2018 18:07:28,383.03
State Bank of India,Microsoft,Options,02/09/2018 13:21:08,62.49
Bank of America,Ford,Futures,09/11/2018 21:20:12,246.24
BNP Paribas,Microsoft,Bond,23/06/2018 16:35:09,80.45
Deutsche Bank,Apple,Loan,23/11/2018 13:25:52,580.63
Barclays,Amazon,Options,03/02/2018 15:17:30,309.12
Barclays,Ford,Futures,20/02/2018 16:13:07,694.32
State Bank of India,Google,Loan,24/09/2018 11:37:37,416.74
Barclays,SimCorp,Deposit,14/05/2018 15:37:57,68.29
Barclays,Apple,Futures,09/11/2018 17:42:16,102.13
Finanz Informatik,Microsoft,Swap,21/01/2018 08:03:52,37.88
BNP Paribas,Walmart,Futures,12/12/2018 22:10:58,159.61
BNP Paribas,Microsoft,CDS,01/09/2018 20:49:26,96.51
UOB,Amazon,Futures,13/12/2018 04:29:43,103.07
Bank of America,Toyota,CDS,05/10/2018 17:40:23,175.65
Bank of America,Toyota,CDS,03/02/2018 02:35:16,204.99
Barclays,Walmart,Futures,25/02/2018 16:13:28,6.68
Barclays,Amazon,Loan,14/06/2018 08:32:57,170.08
Fannie Mae,Amazon,Swap,17/02/2018 01:42:21,207.04
Bank of America,Microsoft,CDS,20/10/2018 23:19:37,382.47
Barclays,Google,Deposit,25/03/2018 03:26:13,507.67
Bank of America,Walmart,CDS,20/09/2018 02:40:21,495.42
State Bank of India,Samsung,Options,19/02/2018 06:43:30,420.48
State Bank of India,Ford,Bond,23/01/2018 23:34:42,412.53
Bank of America,SimCorp,CDS,24/02/2018 23:31:02,107.63
Finanz Informatik,Ford,Equity,16/01/2018 15:36:42,68.86
Barclays,Ford,Futures,22/02/2018 15:34:41,398.28
Barclays,Ford,Equity,07/12/2018 11:10:30,656.76
Deutsche Bank,Toyota,Futures,06/02/2018 01:46:01,232.46
Finanz Informatik,Samsung,Bond,04/07/2018 16:02:35,125.14
Barclays,Samsung,Equity,04/05/2018 09:50:09,91.77
Barclays,Apple,Futures,26/11/2018 16:32:20,143.06
UOB,SimCorp,Equity,10/09/2018 15:50:36,731.80
Barclays,Walmart,Equity,09/02/2018 22:33:01,527.13
Fannie Mae,Walmart,Equity,21/05/2018 07:29:15,841.01
Fannie Mae,Toyota,CDS,10/08/2018 20:35:28,315.61
Bank of America,Microsoft,Loan,18/03/2018 21:56:16,18.69
BNP Paribas,SimCorp,Loan,16/02/2018 06:21:51,579.98
Fannie Mae,Walmart,Swap,12/06/2018 18:56:34,163.30
Finanz Informatik,Apple,Swap,09/06/2018 22:21:57,407.91
Finanz Informatik,Microsoft,CDS,10/08/2018 15:22:31,628.28
Bank of America,Toyota,Options,11/12/2018 22:17:51,3.75
State Bank of India,Amazon,Futures,19/02/2018 01:32:52,736.64
State Bank of India,Amazon,Bond,21/02/2018 21:56:20,528.95
Barclays,Amazon,Options,27/09/2018 15:36:02,77.53
Deutsche Bank,SimCorp,Equity,25/11/2018 23:46:32,38.86
BNP Paribas,SimCorp,CDS,06/05/2018 03:36:23,355.63
State Bank of India,Ford,Deposit,14/01/2018 12:48:43,113.68
Barclays,SimCorp,Deposit,27/05/2018 10:15:16,25.83
BNP Paribas,Amazon,Loan,20/10/2018 21:42:10,185.20
BNP Paribas,Google,Deposit,12/08/2018 17:43:07,457.91
Fannie Mae,Apple,Loan,25/12/2018 14:42:19,157.22
State Bank of India,Microsoft,Equity,11/06/2018 14:34:57,349.25
UOB,Walmart,Equity,01/05/2018 05:41:11,215.61
Deutsche Bank,Google,Swap,18/11/2018 02:04:26,292.48
Fannie Mae,Amazon,CDS,26/10/2018 16:05:23,178.06
Fannie Mae,Toyota,Deposit,16/10/2018 12:53:58,200.83
State Bank of India,SimCorp,Loan,03/03/2018 18:25:17,613.78
Bank of America,Google,Bond,12/03/2018 10:56:24,307.09
Fannie Mae,Microsoft,Swap,02/02/2018 22:22:08,179.16
Fannie Mae,Apple,Options,06/04/2018 16:04:29,59.38
Finanz Informatik,Samsung,Options,10/12/2018 01:43:31,178.44
Bank of America,SimCorp,Options,15/07/2018 14:35:12,79.09
Barclays,Microsoft,Swap,04/09/2018 10:36:44,37.23
Barclays,SimCorp,CDS,03/04/2018 08:46:02,28.80
Fannie Mae,Samsung,CDS,15/03/2018 16:34:58,99.68
BNP Paribas,Samsung,Loan,22/07/2018 23:49:49,518.57
Barclays,Ford,Futures,21/08/2018 03:48:16,766.11
UOB,Walmart,Futures,27/02/2018 13:33:46,120.36
UOB,Walmart,Swap,19/05/2018 13:08:08,93.82
Bank of America,Ford,Equity,17/11/2018 06:22:06,95.26
State Bank of India,Microsoft,Futures,24/08/2018 13:27:12,215.36
Barclays,Apple,Options,03/05/2018 19:02:05,200.93
State Bank of India,Toyota,Deposit,19/05/2018 20:21:33,1.61
Fannie Mae,SimCorp,Loan,16/10/2018 13:08:21,397.07
BNP Paribas,Ford,Futures,20/03/2018 11:20:49,122.15
Fannie Mae,Microsoft,Bond,12/03/2018 05:32:07,620.49
Fannie Mae,Ford,CDS,02/12/2018 23:43:51,941.04
Deutsche Bank,Toyota,Futures,04/11/2018 02:12:32,494.98
Bank of America,SimCorp,Deposit,15/09/2018 21:22:05,187.45
BNP Paribas,Apple,Futures,27/08/2018 05:17:34,141.88
Deutsche Bank,SimCorp,Swap,04/03/2018 12:48:13,131.64
BNP Paribas,Apple,Futures,13/10/2018 15:07:54,47.20
Bank of America,Walmart,Futures,15/07/2018 16:19:52,105.67
UOB,Walmart,Loan,13/12/2018 01:33:34,892.38
BNP Paribas,Google,Swap,10/12/2018 01:35:36,81.01
BNP Paribas,Amazon,Equity,03/12/2018 03:59:29,56.82
